ID,Nombre completo,Fecha de nacimiento,Dirección,Localidad y Código postal,Teléfono,Correo electrónico,Fecha de alta,Grupo de clientes,Edad
C0148,ERNESTO CUADRADO MESA,1987-03-14,79 ROCKY RIVER AVE.,"RESEDA, CA 91335",(868) 892-8961,BRYAM@VERIZON.NET,2012-04-28 04:47:34,E,37
C0149,ESTELA PONCE-LOSADA,1997-01-24,38 JOHNSON ST.,"FREMONT, CA 94536",(473) 875-0023,PADME@HOTMAIL.COM,2019-12-20 11:51:29,E,27
C0150,LUIS MIGUEL DEL TAPIA,1971-09-05,7652 WEST WAKEHURST DRIVE,"GARDEN GROVE, CA 92840",(700) 958-6128,DAMIAN@HOTMAIL.COM,2013-02-26 15:26:18,E,53
C0151,ELPIDIO AGULLO TEJERO,1988-08-02,7075 LAKE FOREST RD.,"BELLFLOWER, CA 90706",(696) 679-7702,TANGSH@ME.COM,2020-12-28 03:37:26,I,36
C0152,MARÍA CARMEN RÓDENAS ACOSTA,1970-09-26,619 PLEASANT ST.,"LYNWOOD, CA 90262",(250) 248-4300,YAMLA@OUTLOOK.COM,2011-08-04 05:20:05,I,54
C0153,LUCAS VENDRELL VALVERDE,1987-12-11,8026 NEW SADDLE ST.,"SAN DIEGO, CA 92105",(834) 508-9490,RBARREIRA@OPTONLINE.NET,2010-02-08 04:04:21,E,37
C0154,GERARDO TOMÉ REAL,1997-06-05,275 ROCK MAPLE AVENUE,"HUNTINGTON BEACH, CA 92646",(503) 283-5457,JRIFKIN@VERIZON.NET,2005-03-07 04:49:44,E,27
C0155,ELÍAS SACRISTÁN VÁZQUEZ,1998-01-31,404 RAILROAD ST.,"OXNARD, CA 93030",(461) 976-3596,DMOUSE@SBCGLOBAL.NET,2013-03-10 18:52:43,E,26
C0156,VICTORIANO VALENCIA COLOMA,1998-06-05,441 COURT DR.,"SUNNYVALE, CA 94087",(398) 272-4739,TUBAJON@COMCAST.NET,2006-02-07 17:57:52,E,26
C0157,VERA RIBES-CASES,1996-10-11,9 SOUTH THEATRE AVE.,"SACRAMENTO, CA 95828",(279) 586-2100,TJENSEN@ATT.NET,2011-09-08 19:13:52,E,28
C0158,LIGIA MOYA CALLEJA,1980-09-29,674 VAN DYKE DRIVE,"PITTSBURG, CA 94565",(988) 433-7129,TRISTAN@LIVE.COM,2011-05-20 08:25:57,E,44
C0159,EVANGELINA BARRAGÁN CASTELL,1996-01-29,234 W. RIVERSIDE ST.,"SOUTH GATE, CA 90280",(357) 352-8928,CRANDALL@SBCGLOBAL.NET,2008-12-14 19:33:51,E,28
C0160,FLORENCIA DOMITILA CASTELL MENDIZÁBAL,1995-12-05,916 E. CACTUS AVE.,"INDIO, CA 92201",(240) 852-8613,BESTER@OUTLOOK.COM,2017-04-10 04:38:17,I,29
C0161,JAVIER ARELLANO-MURCIA,1999-04-02,218 LAKE ST.,"VALLEJO, CA 94591",(403) 855-3645,WORLD@YAHOO.CA,2019-01-03 08:18:02,I,25
C0162,AURELIA SANS OLLER,1991-11-13,861 OAKLAND ST.,"CHULA VISTA, CA 91911",(593) 356-1838,STAIKOS@SBCGLOBAL.NET,2018-12-24 10:47:39,I,33
C0163,TEODORA JEREZ TORMO,1994-09-22,8356 BANK AVE.,"CHULA VISTA, CA 91910",(433) 213-5953,KLUDGE@COMCAST.NET,2015-08-02 02:02:33,I,30
C0164,CORNELIO NOGUERA LLUCH,1992-05-01,9754 BROOKSIDE STREET,"SACRAMENTO, CA 95823",(669) 290-1610,PAULV@SBCGLOBAL.NET,2017-03-30 09:17:55,E,32
C0165,CARLA SERNA MONTALBÁN,1999-05-05,8718 CHAPEL DRIVE,"ROSEMEAD, CA 91770",(472) 605-7532,JGMYERS@SBCGLOBAL.NET,2018-06-07 20:23:07,I,25
C0166,MACARENA VALERIA FELIU MAYOL,1986-07-03,9029 BELLEVUE DRIVE,"SAN BERNARDINO, CA 92404",(287) 839-5879,JOSEPHW@HOTMAIL.COM,2014-01-22 00:28:34,E,38
C0167,JACINTA PAZ DOMINGO RIVAS,1999-01-28,277 HALIFAX DR.,"COLTON, CA 92324",(622) 903-6022,SOPWITH@ATT.NET,2007-07-14 13:22:54,I,25
C0168,VICTOR MANUEL TEJEDOR NEVADO,1986-11-06,7889 CHAPEL STREET,"ONTARIO, CA 91762",(797) 421-8320,SHARON@ATT.NET,2010-03-28 09:13:23,E,38
C0169,BLANCA MOLINA FRANCISCO,1977-06-02,487 EAST 6TH ST.,"CANYON COUNTRY, CA 91351",(478) 658-1534,NTEGRITY@MSN.COM,2007-08-09 08:45:12,E,47
C0170,JONATAN FONSECA QUEVEDO,1981-12-22,51 COFFEE ST.,"OXNARD, CA 93033",(671) 615-3675,DGRIFFITH@AOL.COM,2012-05-19 09:01:49,I,43
C0171,HUMBERTO VILA,1995-03-03,9586 SYCAMORE DR.,"LIVERMORE, CA 94550",(713) 795-1422,QRCZAK@VERIZON.NET,2010-08-18 16:10:16,I,29
C0172,ISAURA FUENTES GUARDIOLA,1988-04-16,801 SW. PRAIRIE ST.,"CERRITOS, CA 90703",(201) 705-6808,BRUCK@LIVE.COM,2012-08-20 06:45:49,E,36
C0173,RUFINA VARGAS ANDRES,1979-09-04,830 HIGH POINT COURT,"HAYWARD, CA 94544",(322) 327-1204,CAMENISCH@YAHOO.CA,2008-12-27 08:12:01,I,45
C0174,REINALDO BARRAL LAGO,1984-06-03,791 SILVER SPEAR STREET,"NATIONAL CITY, CA 91950",(644) 469-5761,MJEWELL@COMCAST.NET,2019-11-14 23:57:29,E,40
C0175,JOSE IGNACIO VILA-RIOS,1991-04-06,8882 OLD SMITH AVE.,"OCEANSIDE, CA 92056",(674) 440-0703,DAVEED@OPTONLINE.NET,2020-04-23 19:44:38,E,33
C0176,ROBERTO CÁNOVAS SEGURA,1998-02-18,970 MYERS STREET,"OCEANSIDE, CA 92054",(640) 568-2625,QUANTAMAN@HOTMAIL.COM,2011-10-16 23:04:59,I,26
C0177,RÓMULO ORTEGA-GINER,1980-01-03,948 RAILROAD AVENUE,UNIT 2,(409) 889-4836,SZYMANSK@GMAIL.COM,2017-09-30 22:55:39,E,44
C0178,GASTÓN LEON SOLANA,1971-04-01,"SAN DIEGO, CA 92114",7069 ANDOVER ST.,(359) 210-8594,JEMARCH@YAHOO.CA,2014-10-24 13:11:04,E,53
C0179,EMILIA JOVE-ROPERO,1986-10-11,"PICO RIVERA, CA 90660",81 MORRIS DRIVE,(474) 494-9364,RHIALTO@MSN.COM,2016-07-12 17:23:01,E,38
C0180,CALIXTO PINEDO TORRIJOS,1993-07-05,"LOS ANGELES, CA 90001",8785 MARCONI ROAD,(681) 820-0747,FLAKEG@COMCAST.NET,2010-11-01 03:05:03,E,31
C0181,CIRO LEDESMA BRU,1982-03-13,"MODESTO, CA 95350",632 MANOR AVE.,(921) 657-7404,RNEWMAN@OPTONLINE.NET,2005-09-15 01:34:39,I,42
C0182,DORA DEL SEGARRA,1977-06-16,"SIMI VALLEY, CA 93065",51 COLLEGE STREET,(451) 889-2527,JSHEARER@YAHOO.CA,2011-10-09 20:08:39,I,47
C0183,JUAN BAUTISTA DE SALAZAR,1977-01-30,"LOS ANGELES, CA 90004",198 RAMBLEWOOD DRIVE,(487) 654-5535,TUBESTEAK@MSN.COM,2005-07-27 21:44:36,I,47
C0184,NARCISO DEL ANAYA,1998-10-20,"FOLSOM, CA 95630",13 E. WALNUT ST.,(243) 692-9341,JSNOVER@GMAIL.COM,2010-07-15 20:24:55,I,26
C0185,MARTIRIO REINA MALO ALONSO,1993-12-25,"TULARE, CA 93274",7792 ANDERSON LANE,(726) 607-0923,CHRWIN@LIVE.COM,2007-08-18 20:02:45,I,31
C0186,MAXIMILIANO MAESTRE MENDIZÁBAL,1987-07-28,"SAN FRANCISCO, CA 94109",7728 MAYFIELD DRIVE,(861) 258-0892,JADAVIS@MSN.COM,2016-07-22 10:54:49,I,37
C0187,NOA DOMINGUEZ-LLORENTE,1977-09-05,"TRACY, CA 95376",8704 THATCHER ST.,(514) 904-4726,STEVELIM@GMAIL.COM,2005-09-12 18:11:15,E,47
C0188,MIGUEL MUR CRUZ,1988-10-13,"LOS ANGELES, CA 90066",9160 MAMMOTH AVE.,(829) 721-4200,ZAVADSKY@VERIZON.NET,2013-08-21 16:20:36,E,36
C0189,GALA GIMENEZ-LASA,1977-08-30,"RIVERSIDE, CA 92509",8652 ARLINGTON DRIVE,(983) 385-7043,MOBILEIP@COMCAST.NET,2006-11-30 05:36:43,I,47
C0190,SATURNINO PALACIOS LAMAS,1970-06-01,"LOS ANGELES, CA 90026",9048 BIRCHWOOD AVENUE,(223) 360-1632,LAURONEN@ICLOUD.COM,2013-02-13 08:30:52,I,54
C0191,ARIEL CASTELLANOS BAUZÀ,1975-11-22,"FAIRFIELD, CA 94533",35 CHARLES ST.,(412) 836-0738,MATTY@ATT.NET,2019-01-20 18:07:40,I,49
C0192,TRINIDAD SALAS GIMENEZ,1975-05-03,"SYLMAR, CA 91342",634 THEATRE STREET,(238) 664-3657,SIMONE@MAC.COM,2014-07-21 09:07:32,E,49
C0193,ADALBERTO DEL SECO,1996-10-29,"DALY CITY, CA 94015",436 KETCH HARBOUR STREET,(759) 680-2696,CLAESJAC@VERIZON.NET,2007-05-02 17:49:23,I,28
C0194,EUSTAQUIO PALACIOS FRANCISCO,1989-09-25,"VAN NUYS, CA 91405",19 STRAWBERRY STREET,(395) 780-5461,GOLDBERG@YAHOO.COM,2007-04-08 11:24:52,I,35
C0195,SUSANA CASTRO RUIZ,1993-10-08,"VICTORVILLE, CA 92392",48 FAIRFIELD LANE,(372) 818-3567,LAHVAK@AOL.COM,2006-02-03 17:58:11,I,31
C0196,EMELINA MELISA PALAU SECO,1998-05-01,"SAN PEDRO, CA 90731",9814 PRIMROSE STREET,(935) 960-4873,JIPSEN@SBCGLOBAL.NET,2005-04-26 22:15:39,I,26
C0197,SANDALIO BAEZA GRANDE,1995-10-22,"SAN DIEGO, CA 92115",8053 JENNINGS ST.,(971) 288-1186,ELMER@MAC.COM,2016-06-23 03:50:55,E,29
C0198,GREGORIO GUERRERO PALOMINO,1984-02-16,"RANCHO CUCAMONGA, CA 91730",82 BEAR HILL AVE.,(994) 447-4889,SISYPHUS@ICLOUD.COM,2016-03-04 12:16:50,E,40
C0199,SOCORRO DE HIGUERAS,1976-09-02,"UNION CITY, CA 94587",9428 3RD AVE.,(232) 476-5035,STEFANO@VERIZON.NET,2007-05-20 18:26:30,I,48
C0200,OTILIA VIANA TORRES,1998-08-20,"MONTEBELLO, CA 90640",83 FRONT AVE.,(288) 574-6749,MUZZY@AOL.COM,2016-05-26 04:15:30,I,26
C0201,LUÍS GUZMAN ALSINA,1972-03-23,"SAN FRANCISCO, CA 94122",71 WAKEHURST DRIVE,(969) 763-9226,BMIDD@ATT.NET,2014-07-24 18:33:00,I,52
C0202,JULIE ROSA LUMBRERAS,1972-01-07,"COSTA MESA, CA 92627",715 REDWOOD DR.,(732) 708-8561,DHRAKAR@OUTLOOK.COM,2011-12-05 18:25:25,I,52
C0203,SAMU PAULINO FABRA GALVEZ,1970-10-30,"LONG BEACH, CA 90813",316 OHIO ST.,(314) 254-1244,OPENLDAP@MAC.COM,2013-07-24 03:15:46,I,54
C0204,VICENTE EGEA SANCHEZ,1994-03-10,"ANAHEIM, CA 92801",9185 MECHANIC ST.,(460) 682-5923,DMATH@LIVE.COM,2019-08-29 14:10:40,I,30
C0205,JUAN CARLOS DEL CORDERO,1970-02-16,"ALAMEDA, CA 94501",7371 WRANGLER STREET,(200) 565-5639,DOBEY@MSN.COM,2018-01-22 07:54:12,I,54
C0206,CARLA BLANES ESPAÑA,1972-12-10,"OAKLAND, CA 94601",72 ST PAUL AVE.,(357) 769-3070,RBARREIRA@ICLOUD.COM,2019-05-21 12:23:15,I,52
C0207,TORIBIO HERRANZ JURADO,1989-12-24,"LONG BEACH, CA 90805",67 WILLIAM DRIVE,(587) 626-3175,GILMOURE@LIVE.COM,2019-06-21 21:36:55,E,35
C0208,AMÉRICA ROSELL FERRÁNDIZ,1989-01-28,"MERCED, CA 95340",7732 COBBLESTONE LANE,(465) 293-1802,GRADY@VERIZON.NET,2012-03-25 04:41:35,I,35
C0209,INÉS CALDERON SUAREZ,1997-10-13,"HUNTINGTON PARK, CA 90255",78 SUMMER STREET,(709) 815-7677,SEKIYA@GMAIL.COM,2006-03-05 03:03:58,E,27
C0210,TRINIDAD LEIVA RIBERA,1972-08-04,"SAN JOSE, CA 95111",9268 NE. LOOKOUT DRIVE,(605) 810-1781,DOGDUDE@YAHOO.COM,2007-06-30 03:25:30,I,52
C0211,LUISA SALDAÑA PIÑEIRO,1998-04-05,"SANTA ANA, CA 92704",9551 TALBOT AVE.,(256) 681-2246,SFOSKETT@ATT.NET,2017-07-18 14:49:38,I,26
C0212,YAGO DIEZ MELÉNDEZ,1979-11-06,"SPRING VALLEY, CA 91977",82 EDGEWOOD AVE.,(304) 471-5232,HAMPTON@ICLOUD.COM,2007-08-26 21:36:38,I,45
C0213,ALBERTO RIUS RIUS,1982-03-10,"SALINAS, CA 93905",63 EAST PENN ST.,(411) 283-4519,SINGER@MAC.COM,2016-08-14 05:09:17,E,42
C0214,BEATRIZ JIMENEZ ANTÓN,1982-01-30,"LA HABRA, CA 90631",1 SPRUCE STREET,(442) 496-8157,PEREINAR@MAC.COM,2020-01-12 12:53:37,I,42
C0215,ADOLFO GAYA CANALES,1980-05-31,"FONTANA, CA 92336",78 DEVON ST.,(205) 909-7964,JFREEDMA@COMCAST.NET,2006-05-14 12:47:56,I,44
C0216,TEÓFILO DE NUÑEZ,1995-03-29,"GEORGETOWN, ON L7G 9Y7",425 CHERRY HILL COURT,(730) 534-7609,HAMPTON@OUTLOOK.COM,2010-08-02 22:02:45,E,29
C0217,BRUNO CABEZAS CORDERO,1975-09-13,"DONNACONA, QC G3M 1C3",900 CHARLES LANE,(770) 286-4391,ATTWOOD@YAHOO.COM,2013-04-28 20:59:34,E,49
C0218,PEPE JUANITO ADÁN ANAYA,1981-02-04,"MANOTICK, ON K4M 6S8",316 EAST OAK MEADOW COURT,(732) 906-0070,HOWLER@MAC.COM,2019-11-29 13:47:59,E,43
C0219,ISABELA SOLÉ NUÑEZ,1980-01-21,"ESSEX, ON N0R 2G6",407 LAFAYETTE COURT,(943) 428-2313,QUANTAMAN@ICLOUD.COM,2017-12-06 16:50:13,I,44
C0220,AMAYA IZQUIERDO GONZALO,1993-05-24,"LOCKPORT, MB R1B 5H9",17 EUCLID RD.,(785) 951-2152,TELLIS@GMAIL.COM,2005-05-01 05:49:05,I,31
C0221,GERVASIO DEL GALÁN,1985-08-16,"BONNYVILLE, AB T9N 2P9",821 SURREY ST.,(406) 847-9870,JGUYER@VERIZON.NET,2006-08-20 03:16:46,E,39
C0222,ISAAC PUJOL-YÁÑEZ,1998-02-25,"PETIT-ROCHER, NB E8J 4K5",714 DEPOT ST.,(965) 911-5076,ADHERE@ICLOUD.COM,2006-10-15 15:25:08,E,26
C0223,VALERIO VALENTÍN CÉSPEDES,1989-05-05,"FARNHAM, QC J2N 4J1",82 CLARK AVE.,(599) 327-2008,JAARNIAL@VERIZON.NET,2012-08-01 14:06:20,I,35
C0224,CLETO BENITO MENDIZÁBAL,1995-10-11,"WINNIPEG, MB R2C 4A3",9949 DOGWOOD AVE.,(656) 470-6146,PLOVER@LIVE.COM,2018-12-06 07:05:41,E,29
C0225,ERASMO CABEZA MARTINEZ,1999-05-09,"SAINT-RAYMOND, QC G3L 7P7",9 KINGSTON LANE,(327) 329-5055,WORTMANJ@VERIZON.NET,2014-01-04 12:18:42,I,25
C0226,QUIRINO ROSARIO VÁZQUEZ CARVAJAL,2000-01-17,"ST. GEORGE, NB E5C 6A9",652 OLD TOWER LANE,(208) 903-9126,VIOLINHI@AOL.COM,2012-12-16 06:23:52,I,24
C0227,MARCOS ALCÁNTARA CODINA,1992-11-28,"PORT MOODY, BC V3H 3N3",1 TRUSEL LANE,(440) 419-1193,UNCLE@SBCGLOBAL.NET,2010-04-03 06:20:02,I,32
C0228,PALOMA ABASCAL LLEDÓ,1998-05-14,"DELHI, ON N4B 2V1",81 CANTERBURY STREET,(357) 843-1297,KRUEGER@ICLOUD.COM,2007-07-23 22:05:45,E,26
C0229,ANA SOFÍA NADAL-CAMPO,1990-04-23,"OROMOCTO, NB E2V 6A5",1 WESTMINSTER STREET,(726) 820-4884,DAVEEWART@OPTONLINE.NET,2015-09-02 22:24:53,E,34
C0230,ESTELA CASES PERAL,1982-11-06,"BELLEDUNE, NB E8G 4R8",83 BEAVER RIDGE AVE.,(741) 507-6188,FIRSTPR@AOL.COM,2017-05-16 22:29:10,E,42
C0231,BORJA DÍEZ-ZORRILLA,1971-01-28,"BOUCTOUCHE, NB E4S 8M3",170 DEVONSHIRE ST.,(847) 529-3256,TRIEUVAN@SBCGLOBAL.NET,2008-09-20 11:15:56,E,53
C0232,EVA MARÍA DE BERTRÁN,1992-10-20,"CALEDON, ON L7C 9T6",7489 CENTRAL DRIVE,(622) 751-8803,TBUSCH@GMAIL.COM,2006-07-28 17:38:26,I,32
C0233,ELENA DEL TOMÉ,1984-03-11,"BUENA VISTA, SK S2V 1L1",72 WILD ROSE CIRCLE,(681) 720-0173,YFREUND@ME.COM,2013-07-31 02:29:35,I,40
C0234,IVÁN DE MANZANARES,1978-04-13,"DIGBY NECK, NS B0V 8H6",9562 SOUTH FOREST DRIVE,(947) 794-9523,JFMULDER@MAC.COM,2017-06-27 10:08:38,E,46
C0235,ADELINA ROMA FEIJOO,1989-02-21,"OUTAOUAIS-SUD, QC J0X 9K0",94 TALLWOOD AVENUE,(697) 343-2772,PARRT@MAC.COM,2014-08-25 20:15:26,I,35
C0236,JOEL ESTÉVEZ,1998-11-07,"WETASKIWIN, AB T9A 7X8",381 CLAY RD.,(864) 686-9890,WISEB@AOL.COM,2012-11-09 13:29:31,I,26
C0237,ÚRSULA ANABEL EXPÓSITO VAZQUEZ,1999-04-03,"STEINBACH, MB R5G 1B0",22 FIELDSTONE DR.,(259) 588-3616,BARNETT@OUTLOOK.COM,2013-08-30 13:21:54,E,25
C0238,MANUELITA GILABERT MANJÓN,1988-03-19,"LA SARRE, QC J9Z 2V9",988 BOHEMIA DR.,(711) 535-5569,BARLOW@YAHOO.COM,2008-02-13 12:32:33,I,36
C0239,AMPARO GALVÁN POLO,1982-05-17,"APOHAQUI, NB E5P 9G5",7582 LYME AVE.,(390) 414-6347,TELBIJ@HOTMAIL.COM,2010-10-22 10:32:35,E,42
C0240,AMPARO DEL AYUSO,1994-11-12,"LLOYDMINSTER, SK S9V 5V1",226 TAYLOR RD.,(622) 524-5931,DALAMB@MSN.COM,2016-09-17 07:33:17,E,30
C0241,ANGÉLICA DEL ORTUÑO,1995-03-11,"HIGHLANDS, BC V9B 9L3",62 E. FOXRUN DRIVE,(832) 663-7857,PSICHEL@LIVE.COM,2005-09-11 18:48:13,I,29
C0242,AMALIA ITZIAR SEBASTIÁN REVILLA,1980-07-20,"SAINT-HIPPOLYTE, QC J8A 8X2",18 THEATRE RD.,(774) 962-9792,CAMERON@MAC.COM,2005-11-01 17:05:14,I,44
C0243,AMÉRICA MORÁN PEÑALVER,1984-04-28,"CHESTERMERE, AB T1X 8K6",562 HILLDALE LANE,(456) 478-8124,KLAUDON@ICLOUD.COM,2013-10-18 14:09:54,I,40
C0244,ELISA DE CHAPARRO,1976-08-15,"LEDUC, AB T9E 6E1",235 BOWMAN STREET,(689) 369-1765,GAVINLS@MSN.COM,2008-11-29 14:02:29,E,48
C0245,NIEVES LLADÓ,1985-11-11,"VANCOUVER, BC V5K 7G2",2 BEECHWOOD STREET,(462) 469-0733,ARATHI@COMCAST.NET,2008-03-11 14:03:14,E,39
C0246,JUAN ANTONIO BENET,1988-12-06,"ESQUIMALT, BC V9A 7T3",877 COFFEE AVE.,(296) 380-9560,PARKES@ICLOUD.COM,2018-06-09 07:12:22,I,36
C0247,GUSTAVO BARBERÁ FRÍAS,1991-06-18,"COLDBROOK, NS B4R 8S2",759 MAYFAIR COURT,(770) 446-1820,CYRUS@AOL.COM,2019-07-16 15:07:15,E,33
C0248,ELIANA PACHECO PONCE,1973-04-08,"WINDSOR, ON N8P 8C9",8921 WEST OAK MEADOW ROAD,(752) 764-6341,ISOTOPIAN@HOTMAIL.COM,2019-08-11 21:42:08,E,51
C0249,DALILA PINO VERDÚ,1992-09-21,"KANATA, ON K2K 4A8",24 EDGEMONT ST.,(420) 583-7227,MARNANEL@ICLOUD.COM,2013-07-05 14:53:22,I,32
C0250,MARCIANO DÍAZ,1985-04-16,"MCADAM, NB E6J 7T4",524 DUNBAR DRIVE,(844) 867-2783,NWIGER@VERIZON.NET,2016-01-04 11:01:11,E,39
C0251,TIMOTEO PINILLA CALDERÓN,1975-06-05,"HANOVER, ON N4N 0G1",4 MAPLE STREET,(844) 548-7367,ELMER@COMCAST.NET,2019-12-17 14:14:29,I,49
C0252,MALENA ROMA BARRENA,1977-08-15,"OTTAWA, ON K1G 0J7",7963 THIRD ST.,(653) 247-2528,NATEPURI@GMAIL.COM,2013-08-04 17:44:29,I,47
C0253,SILVIA LEÓN DUQUE,1991-04-12,"MISSISSAUGA, ON L4T 3V7",617 LIBERTY DR.,(323) 918-8630,TMAEK@GMAIL.COM,2009-11-21 11:42:37,I,33
C0254,EMA DEL GARRIDO,1986-01-24,"WALLACEBURG, ON N8A 3M8",72 CIRCLE ST.,(951) 814-0240,MANUALS@YAHOO.CA,2007-07-20 21:26:35,E,38
C0255,EVA GONZÁLEZ CANO,1972-11-12,"WINDSOR, LB A2B 0T8",616 LYME AVE.,(286) 747-9510,NEONATUS@LIVE.COM,2015-05-29 15:32:53,I,52
C0256,EUTROPIO SEDANO CABANILLAS,1987-10-03,"COWANSVILLE, QC J2K 8Y0",901 FAIRWAY STREET,(780) 915-5789,CRUSADER@VERIZON.NET,2007-09-20 11:05:46,E,37
C0257,DAFNE CERDÁN PUJOL,1988-09-24,"DUVERNAY-EST, QC H7A 4A9",80 GULF DRIVE,(611) 316-6464,DOGDUDE@MAC.COM,2012-02-22 16:28:59,I,36
C0258,ÓSCAR DE MASCARÓ,1989-09-26,"PITT MEADOWS, BC V3Y 0T2",9599 EAST WATER AVE.,(347) 423-7150,MASTINFO@OUTLOOK.COM,2010-11-01 23:00:53,E,35
C0259,CATALINA PERALTA PATIÑO,1970-06-26,"AMQUI, QC G5J 8E3",8850 PULASKI DR.,(690) 391-9308,MUNGE@VERIZON.NET,2020-03-26 23:04:16,I,54
C0260,BÁRBARA ELORZA JORDÁ,1989-11-28,"ENFIELD, NS B2T 5S6",703 BAY AVE.,(300) 748-5245,MILTON@ATT.NET,2015-12-31 08:41:22,I,35
C0261,LORETO BURGOS,1980-05-20,"ST. MARTINS, NB E5R 1J6",31 TEMPLE AVE.,(399) 450-6042,REDINGTN@HOTMAIL.COM,2006-07-18 01:24:22,I,44
C0262,ESTELA MARQUEZ ARCE,1972-12-18,"STOUFFVILLE, ON L4A 6L1",7058 COUNTRY CLUB AVE.,(941) 250-4612,FVIEGAS@SBCGLOBAL.NET,2008-07-26 03:39:25,I,52
C0263,PALOMA SEGARRA MENÉNDEZ,1978-03-09,"KINGS COUNTY, NS B0P 9R3",91 PINEKNOLL AVE.,(979) 636-7422,RGARCIA@LIVE.COM,2008-08-18 22:03:10,I,46
C0264,CLAUDIO MAXIMINO COBOS CÓRDOBA,1998-01-05,"FORT SASKATCHEWAN, AB T8L 4M9",871 GAINSWAY DRIVE,(838) 478-1283,OVPRIT@MSN.COM,2017-04-07 21:43:41,E,26
C0265,JOSEFINA REY MELÉNDEZ,1973-01-12,"LAURENTIDES-SUD, QC J0V 3M7",9536 NUT SWAMP DR.,(709) 730-9311,TEVERETT@ATT.NET,2013-04-14 03:08:05,I,51
C0266,NILDA DE GARRIDO,1982-12-29,"BLACK LAKE, QC G6H 5M3",53 OLD BELMONT ST.,(773) 468-1836,GHOST@YAHOO.CA,2006-09-18 20:12:56,I,42
C0267,GREGORIO LLABRÉS-REBOLLO,1983-03-30,"CHARNY, QC G6X 9G6",9451 STONYBROOK COURT,(629) 776-7927,INTLPROG@VERIZON.NET,2005-07-27 05:33:12,I,41
C0268,EDMUNDO DE MARCO,1993-09-28,"OKOTOKS, AB T1S 0P8",5 ROCKLAND COURT,(374) 637-9848,FROSAL@MSN.COM,2018-07-11 08:25:20,E,31
C0269,AMAYA RUIZ CAMPOY,1985-01-30,"BOIESTOWN, NB E6A 0J5",209 NORTH PRIMROSE STREET,(614) 742-3346,SABREN@COMCAST.NET,2007-10-22 23:22:31,E,39
C0270,NACIO PERERA LERMA,1995-08-17,"PORT ALBERNI, BC V9Y 6C7",14 MILITARY STREET,(591) 540-1501,HERMES@OUTLOOK.COM,2009-09-13 11:54:40,I,29
C0271,DAMIÁN VICENS CABRERA,1995-11-03,"COCHRANE, AB T4C 6R2",9282 BORDER STREET,(674) 692-6307,SHRAPNULL@LIVE.COM,2021-03-01 04:22:34,E,29
C0272,MARCELA TEÓFILA ARNAL LASA,1999-04-22,"HAMPTON, NB E5N 2B1",258 BOHEMIA ST.,(613) 385-7225,JIMMICHIE@OPTONLINE.NET,2006-04-26 14:15:37,I,25
C0273,REINA LOSADA ALFONSO,1981-02-19,"GRAND MANAN ISLAND, NB E5G 6V4",740 JONES ST.,(911) 247-1909,BJORNK@AOL.COM,2014-10-15 14:27:08,I,43
C0274,ISA ARENAS MARISCAL,1972-04-27,"PETAWAWA, ON K8H 6P6",592 LINDEN AVE.,(428) 712-4844,GHOST@SBCGLOBAL.NET,2015-10-18 05:36:32,E,52
C0275,MORENA ROURA,1998-09-01,"CAP-ROUGE, QC G1Y 7T2",67 SHEFFIELD AVE.,(911) 550-2155,CURLY@ICLOUD.COM,2009-01-28 11:47:53,I,26
C0276,ODALYS BENÍTEZ,1996-10-16,"PRINCE RUPERT, BC V8J 9N3",19 TALLWOOD ST.,(593) 925-4662,JACKS@OUTLOOK.COM,2021-04-29 00:04:40,I,28
C0277,EMMA DEL AMOR,1980-10-08,"ACTON, ON L7J 3T8",389 RIDGE STREET,(538) 584-5847,MBSWAN@OPTONLINE.NET,2015-04-26 06:50:15,E,44
C0278,SEVE VILLANUEVA ANAYA,1975-02-06,"LAC-MEGANTIC, QC G6B 4L9",329 CARPENTER COURT,(336) 788-8866,JELMER@GMAIL.COM,2014-04-30 18:51:22,E,49
C0279,MONTSERRAT ARMAS SALAMANCA,1994-03-11,"INNISFAIL, AB T4G 7N5",60 ST MARGARETS STREET,(878) 213-7548,PODMASTER@YAHOO.COM,2013-09-30 11:32:28,E,30
C0280,ILDEFONSO FELIU ESTEBAN,1997-06-14,"LE FJORD, QC G0T 3E3",968 E. ASPEN LANE,(544) 332-6097,MALIN@VERIZON.NET,2019-07-28 05:36:40,E,27
C0281,LIGIA OCAÑA ARREGUI,1987-12-02,"GRANDE-ANSE, NB E8N 7C1",12 WINDING WAY ST.,(992) 343-2800,DSUGAL@HOTMAIL.COM,2019-02-28 05:58:03,E,37
C0282,SARITA NEIRA TORO,1981-04-06,"KIMBERLEY, BC V1A 5S2",859 GREENVIEW DR.,(272) 202-0144,NINENINE@ICLOUD.COM,2016-06-14 10:36:11,I,43
C0283,TIMOTEO PACHECO POZO,1970-04-20,"ST. ALBERT, AB T8N 8R8",9286 E. BAYBERRY STREET,(738) 345-5103,DAMIAN@ICLOUD.COM,2011-12-08 19:58:14,I,54
C0284,ESTER ANABEL FABREGAT NUÑEZ,1991-06-11,"BASS RIVER, NB E4T 4R0",128 RICHARDSON ST.,(713) 922-0553,PHISH@HOTMAIL.COM,2017-09-17 06:49:59,I,33
